fish_name,shuttlebox_start_side,presentation_when_fish_gave_up3,shuttlebox_average_distance_from_correct_stimulus_during_stimulus,shuttlebox_average_distance_from_correct_stimulus_during_gaps,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,prop_shuttlebox_TTEST_p_value_first_and_last_3_gaps,prop_shuttlebox_WILCOX_p_value_first_and_last_3_gaps,prop_shuttlebox_SHAPIRO_p_value_first_and_last_3_gaps,dist_shuttlebox_TTEST_p_value_first_and_last_3_gaps,dist_shuttlebox_WILCOX_p_value_first_and_last_3_gaps,dist_shuttlebox_SHAPIRO_p_value_first_and_last_3_gaps,prop_p_value_of_wilcox_or_t_test_based_on_shapiro,dist_p_value_of_wilcox_or_t_test_based_on_shapiro,prop_was_t_test_wilcox_significant,dist_was_t_test_wilcox_significant,average_distance_during_the_first_3_gaps,difference_avg_dist_from_correct_first_3_gaps_minus_last_3_gaps,difference_avg_prop_correct_first_3_gaps_minus_last_3_gaps,did_fish_increase_avg_dist_performance_by_significant_amount_t_test_wilcox,did_fish_increase_avg_prop_performance_by_significant_amount_t_test_wilcox,did_fish_solve_shuttlebox_using_prop_correct_increase_of_at_least_20_percent,did_fish_solve_shuttlebox_using_distance_decrease_of_at_least_ABSOLUTE_20_percent,did_fish_solve_shuttlebox_using_distance_decrease_of_at_least_RELATIVE_20_percent
gail,R,10,609.4416666666667,594.2784900284901,0.5222222222222223,0.5083333333333333,0.40466937523620145,0.5065551690490403,0.23457216511460846,0.593974717048655,1,0.45489952292964864,0.40466937523620145,0.593974717048655,0,0,809.2222222222222,167.81481481481478,-0.2777777777777778,0,0,1,0,1
gary,R,5,583.8416666666667,647.2820512820513,0.444017094017094,0.5083333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809.2222222222222,NA,NA,NA,NA,NA,NA,NA
george,R,4,642.5916666666667,607.4465811965812,0.5296296296296297,0.49166666666666664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809.2222222222222,NA,NA,NA,NA,NA,NA,NA
wendy,R,11,639.5166666666667,650.8321937321938,0.44814814814814813,0.45,0.39503958030435177,0.5065551690490403,0.2555736408661061,0.47660241359134853,1,0.22438864775810827,0.39503958030435177,0.47660241359134853,0,0,628.9814814814815,153.29629629629636,-0.2222222222222222,0,0,1,0,1
wheatley,R,10,550.0583333333333,645.5598290598291,0.4014245014245014,0.5333333333333333,0.8195134934501984,1,0.2116705887660535,0.7663069439557822,1,0.07122515578847533,0.8195134934501984,0.7663069439557822,0,0,750.8703703703703,-85.72222222222229,0.0740740740740741,0,0,0,0,0
willow,R,16,581.2083333333334,671.0615384615385,0.42592592592592593,0.5333333333333333,0.4538819122775942,0.6579050194284821,0.6933026482814957,0.9265808379228987,0.7,0.6930438232571932,0.4538819122775942,0.9265808379228987,0,0,636.4629629629629,29.537037037036953,-0.2592592592592592,0,0,1,0,0
gertrude,L,12,672.8833333333333,678.5024216524216,0.4444444444444444,0.45,0.922038953396999,0.6579050194284821,0.281363921161281,0.9103466548226153,0.7,0.27204919559255114,0.922038953396999,0.9103466548226153,0,0,752.3703703703703,-39.68518518518522,0.037037037037037035,0,0,0,0,0
gloria,L,26,NA,NA,0.4740740740740741,0.2833333333333333,0.8445403619727337,1,0.5930732776007847,0.7356657365279637,1,0.2808526693274097,0.8445403619727337,0.7356657365279637,0,0,613.5185185185185,118.62962962962956,-0.07407407407407418,0,0,0,0,0
gunther,L,7,665.2083333333334,667.8159544159544,0.45740740740740743,0.4666666666666667,0.30750963354763217,0.26828588367711736,0.1066598465962366,0.31947462678073474,0.4,0.10057017037548176,0.30750963354763217,0.31947462678073474,0,0,505.05555555555554,-380.1851851851852,0.42592592592592593,0,0,0,0,0
willis,L,6,681.475,672.9773504273504,0.45,0.44166666666666665,0.207142434535083,0.18403862719642533,0.12721645830212108,0.31327817516487183,0.7,0.07840722489763059,0.207142434535083,0.31327817516487183,0,0,682.6296296296297,-278.35185185185185,0.37037037037037035,0,0,0,0,0
winona,L,9,644.3,613.9858974358974,0.5111111111111111,0.49166666666666664,0.8746935485997922,1,0.02419040120554304,0.8673454408563449,1,0.05916907812987632,1,0.8673454408563449,0,0,577.4444444444445,73.87037037037038,-0.07407407407407407,0,0,0,0,0
wyatt,L,5,664.575,649.6303418803419,0.4666666666666667,0.4583333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.4444444444445,NA,NA,NA,NA,NA,NA,NA
gavin,L,9,641.72,631.0046723646724,0.5055555555555555,0.5,1,1,0.0013507528487045832,0.9972400602069345,0.8247780950825133,0.0014792467010953478,1,0.8247780950825133,0,0,801.6592592592592,-1.7185185185185219,0,0,0,0,0,0
wanda,R,4,684.5333333333333,603.6790883190884,0.5296296296296297,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801.6592592592592,NA,NA,NA,NA,NA,NA,NA
whitney,R,6,722.3333333333334,601.168547008547,0.5203703703703704,0.4,0.6064226123724852,0.3758250874886983,0.06512538167924434,0.5589737224098117,0.4,0.05935800054619859,0.6064226123724852,0.5589737224098117,0,0,330.63703703703703,-202.07407407407408,0.20370370370370372,0,0,0,0,0
wilma,R,4,680.2666666666667,633.4365811965812,0.49558404558404556,0.44166666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.63703703703703,NA,NA,NA,NA,NA,NA,NA
gabi,L,8,644.8416666666667,602.6424501424501,0.5259259259259259,0.475,0.7819791236955842,1,0.039893384551440154,0.7833026929997354,0.7,0.05549493894171569,1,0.7833026929997354,0,0,374.94444444444446,-104.2407407407407,0.11111111111111116,0,0,0,0,0
georgia,L,18,528.3083333333333,610.9435897435898,0.3729344729344729,0.425,0.3213418550431947,0.3686882693617814,0.07527391626381527,0.16016880590066152,0.1,0.18477191219954633,0.3213418550431947,0.16016880590066152,0,0,482.24074074074076,-77.01851851851848,0.1111111111111111,0,0,0,0,0
gina,L,9,644.675,659.7662393162393,0.4564102564102564,0.44166666666666665,0.5117277689793113,0.7,0.6643042061818716,0.6342789661058609,0.7,0.783707552391602,0.5117277689793113,0.6342789661058609,0,0,488.5740740740741,62.27777777777777,-0.11111111111111116,0,0,0,0,0
watson,R,6,628.1666666666666,590.4578347578348,0.5518518518518518,0.5083333333333333,1,1,0.0013507528487045832,0.9820872563665939,0.4,0.0019604905240125036,1,0.4,0,0,475.68518518518516,-11.037037037037067,0,0,0,0,0,0
wayne,R,6,661.0333333333333,683.2903133903134,0.44814814814814813,0.4666666666666667,0.80839970511281,1,0.07225266252158716,0.7438645972436171,1,0.10662387056075848,0.80839970511281,0.7438645972436171,0,0,623.1666666666666,-142.0925925925926,0.1111111111111111,0,0,0,0,0
wilbur,R,6,647.5916666666667,659.8804843304844,0.4703703703703704,0.48333333333333334,0.06754580095368345,0.17752985241215344,0.1665911953659506,0.05260724349539223,0.2,0.31015599250768056,0.06754580095368345,0.05260724349539223,0,0,339.74074074074076,-623.7407407407408,0.6481481481481481,0,0,0,0,0
garrison,R,5,587.125,635.5873219373219,0.5037037037037037,0.5333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.74074074074076,NA,NA,NA,NA,NA,NA,NA
grant,R,4,655.8083333333333,648.1649572649573,0.4925925925925926,0.48333333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.74074074074076,NA,NA,NA,NA,NA,NA,NA
gustavo,R,4,639.25,644.195584045584,0.49444444444444446,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.74074074074076,NA,NA,NA,NA,NA,NA,NA
