fish_name,sex.x,detour_trial_1_prop_time_in_social_reward_following_solution,detour_trial_1_date_of_trial,detour_trial_1_time_of_trial,detour_trial_1_did_fish_solve_barrier_problem,detour_trial_1_did_fish_solve_full_social_problem,detour_trial_1_full_problem_time_to_social_reward_minus_time_to_contact_barrier,detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,detour_trial_1_time_from_barrier_contact_minus_time_to_end_of_alley,time_to_barrier_contact_minus_start_time,scorer,resolution,shuttlebox_start_side,presentation_when_fish_gave_up_3_ITI,last10secdata_shuttlebox_average_distance_from_correct_stimulus_during_gaps,last10secdata_difference_avg_dist_from_correct_first_5_gaps_minus_last_5_gaps,last10secdata_difference_avg_prop_correct_first_5_gaps_minus_last_5_gaps,last10secdata_shuttlebox_slope_using_avg_dist_from_correct,last10secdata_shuttlebox_wilcox_test_using_avg_dist_from_correct,last10secdata_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,last10secdata_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,last10secdata_shuttlebox_slope_using_proportion_time_correct_during_gap,last10secdata_shuttlebox_wilcox_test_using_proportion_time_correct_during_gap,last10secdata_did_fish_solve_shuttlebox_using_avg_dist_from_correct,last10secdata_did_fish_solve_shuttlebox_using_proportion_time_correct_during_gap,last10secdata_was_difference_avg_prop_correct_first_5_gaps_minus_last_5_gaps_at_least_20_percent,last10secdata_was_difference_avg_dist_from_correct_first_5_gaps_minus_last_5_gaps_at_least_20_percent,sex.y,standard_length,order,average_prop_time_thigmo_T0_to_T29,average_prop_time_mirror_T0_to_T29,average_number_of_entries_T0_to_T29,average_number_of_entries_T30_to_T50,average_number_of_entries_full_4_minutes,average_reaction_time,totalthigmo_full_4_minutes,totalmirror_full_4_minutes,unique_zones_entered_full_4_minutes,entries_into_center_full_4_minutes,average_latency_enter_either_screen,average_prop_time_center_full_4_minutes,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,total_number_of_testing_trials_using_full_4_minutes_data,total_number_of_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.50_ratio_using_full_4_minutes_data,median_performance_on_0.67_ratio_using_full_4_minutes_data,median_performance_on_0.75_ratio_using_full_4_minutes_data,median_performance_on_0.50_ratio_using_T30_to_T50_data,median_performance_on_0.67_ratio_using_T30_to_T50_data,median_performance_on_0.75_ratio_using_T30_to_T50_data,number_of_medians_above_60_using_full_4_minutes_data,number_of_medians_above_60_using_T30_to_T50_data,number_of_medians_above_60_using_T30_to_T50_data_two_and_three_combined,shapiro_wilk_test_p_value_using_full_4_minutes_data,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,shapiro_wilk_test_p_value_using_T30_to_T50_data,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,learning_category_according_to_etheredge_T30_to_T50,learning_category_according_to_etheredge_full_4_minutes,did_fish_have_a_median_above_60,did_fish_have_at_least_two_medians_above_60,average_latency_to_enter_correct_side,average_latency_to_enter_incorrect_side,average_latency_to_enter_correct_side_filtered_just_correct_choice,proportion_of_correct_first_choices,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,number_of_trials_in_a_row_correct_choice_first,mean_of_median_performance_on_each_ratio_full_four_minutes_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data
wade,M,0.394736842,10_17_2017,2:36,1,1,3,1,4,445,DH,640,L,0,680.1666666666666,NA,NA,-2.7463848720800876,0.514520239194296,0.4666666666666667,0.0013348164627363668,0.0013348164627363668,0.04168747031892767,0,1,NA,NA,M,1997,NDS,0.6532183908045978,0.3157854406130268,1.7777777777777777,2.4444444444444446,13.11111111111111,27.106555555555556,0.2846500116388319,0.19049226196204883,0.5555555555555556,2.2222222222222223,11.908499999999998,0.04741459882548009,0.5796417833208214,0.6,8,5,2,3,3,2,2,1,0.9620778349780348,0.1374078890333768,0.5755707075771249,1,0,1,1,2,2,0.01823776718023484,0.7230087105700103,0.006470000751665464,0.765594483995764,low,low,1,1,65.97083333333333,102.62650000000001,65.97083333333333,0.5,2,2,1,0.5583521438628455,0.6666666666666666
wilma,F,0.012237762,9_6_2017,3:48,1,1,6,3,2,22,DH,800,R,0,655.7333333333333,NA,NA,-0.13988876529476685,0.42439606457748447,0.5,0.0011123470522803047,0.0011123470522803047,0.017545979051391658,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wyatt,M,0.092982456,08_24_2017,2:13,1,1,7,1,4,23,DH,1280,L,11,630.9166666666666,201.10000000000002,-0.19999999999999996,-2.1418242491657353,0.6640241337262307,0.5166666666666667,3.3370411568409283e-4,3.3370411568409283e-4,0.01688382331535521,0,1,1,0,M,2336,SDN,0.2333333333333333,0.5480842911877395,9.555555555555555,12.11111111111111,79,2.433333333333333,0.22329460140582447,0.1555446403107695,0.9506172839506173,21.333333333333332,4.796875,0.17639499928492622,0.46849521653355003,0.44667021025907794,9,9,3,3,3,3,3,3,0.5268284893005428,0.31232091690544383,0.42913907284768155,0.37025316455696206,0.4060773480662978,0.4926253687315634,0,0,0,0.6654929787692405,0.5621838048398651,0.8608806612548631,0.4339131136393165,non,non,0,0,8.272222222222222,8.428125000000001,8.272222222222222,0.75,1,1,3,0.42276282635122275,0.4229852937849411
wisteria,F,0.023090586,12_13_2017,11:00,1,1,8,6,8,29,KW,640,L,0,743.2666666666667,NA,NA,-2.326140155728586,0.16289324548421671,0.4,0.004226918798665173,0.004226918798665173,0.5005714263051326,0,0,NA,NA,F,2490,NSD,0.263816091954023,0.18101532567049808,5.555555555555555,7.555555555555555,69.44444444444444,2.4961111111111105,0.11227950773247755,0.20726708456275597,0.9876543209876543,22,2.9414285714285726,0.18790878324472232,0.5168384634993869,0.5411738455347261,9,9,3,3,3,3,3,3,0.46531657355679695,0.5377358490566042,0.43058951371909765,0.768760907504363,0.5,0.5384615384615388,0,1,1,0.8884041118895878,0.7873384070186397,0.48663665300918885,0.7246509481712887,low,non,1,0,16.94142857142857,6.8822222222222225,4.67,0.2857142857142857,2,1,1,0.47788064544416625,0.6024074819886339
gloria,F,0.09057971,8_24_2017,1:38,1,1,16,8,4,32,DH,1280,L,16,821.4642857142857,78.09999999999991,-0.2,-11.928571428571434,1.3695073425410418e-4,0.31666666666666665,0.008120133481646271,0.008120133481646271,0.5535038017086977,1,0,1,0,F,3350,SDN,0.06952107279693487,0.26257854406130265,5.666666666666667,5.555555555555555,45.44444444444444,5.608333333333333,0.07084124652902964,0.16664857961260146,0.7283950617283951,17.22222222222222,5.316714285714286,0.29175932374880664,0.4995236155188724,0.42305537708857577,9,9,3,3,3,3,3,3,0.5049045860698482,0.3892421159715157,0.5134803921568628,0.31268436578171094,0.7016212487064503,0,0,1,1,0.4510880219268337,0.9939400301986933,0.1318094549613764,0.5825017903775748,low,non,1,0,24.924,16.143749999999997,24.924,0.5714285714285714,2,2,2,0.4692090313994089,0.33810187149605375
wanda,F,0.035971223,9_6_2017,3:29,1,1,31,28,7,152,DH,800,R,9,617.84,NA,NA,1.304738598442713,0.8481966830273109,0.5333333333333333,-0.0031145717463848667,-0.0031145717463848667,0.015290530516394596,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gideon,M,0.30198915,12_3_2017,2:51,1,1,34,8,3,13,BW,1280,L,9,680.6,NA,NA,-9.96084538375973,0.6801297522561982,0.43333333333333335,0.012680756395995552,0.012680756395995552,0.09332766956546738,0,0,NA,NA,M,1025,SDN,0.4115708812260536,0.020402298850574718,7.666666666666667,2.7777777777777777,30.77777777777778,18.20277777777778,0.21538031114770562,0.006677963913422611,0.6666666666666666,4.375,98.19999999999999,0.11161522762661298,0.35028508666293956,0.2857142857142857,8,7,3,3,3,3,2,3,0.18069088926479426,0.4365386972466367,0,0,0,0,0,0,0,0.025232689232391955,0.18127639241267002,4.790565961876614e-4,0.5296506700533425,non,non,0,0,134.42499999999998,71.34166666666667,134.42499999999998,1,2,1,1,0.20574319550381032,0
griffin,M,0.493457944,12_3_2017,2:33,1,1,35,31,3,30,BW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,1019,SDN,0.3478927203065134,0.11293103448275861,3.6666666666666665,2.2222222222222223,25.333333333333332,16.869444444444444,0.2775203802000577,0.08281028514268346,0.8148148148148148,4.555555555555555,17.979999999999997,0.10979063036270578,0.3962744324378054,0.5,9,6,3,3,3,3,1,2,0.44177724765170717,0.3692085812150715,0.21595133491044274,1,0,0.5,0,1,1,0.4518545293208607,0.3634729412332518,0.004039328517458278,1,low,non,1,0,50.828125,67.92916666666667,50.828125,0.6,1,2,3,0.3423123879257405,0.5
gary,M,0.354938272,8_31_2017,10:50,1,1,43,37,232,233,DH,1280,R,30,644.8666666666667,-34.10000000000002,0.09999999999999998,-0.14883203559510563,0.5314740445042669,0.5,-0.00222469410456063,-0.00222469410456063,0.061847980929822875,0,0,0,0,M,2330,NSD,0.13867816091954024,0.42815325670498083,8,5.444444444444445,53.77777777777778,2.0088888888888885,0.1325782588328381,0.5522467888461364,0.8518518518518519,10.777777777777779,32.772999999999996,0.0924855898579825,0.5103590139708649,0.524902874444351,9,7,3,3,3,2,2,3,0.5532829287703944,0.6151104775481109,0.4088815789473684,0.6889715788798357,0.5,0.4083769633507854,1,1,1,0.995135198775796,0.8840150616784982,0.1846331223148499,0.8814298412768545,low,low,1,0,54.819374999999994,46.2525,54.819374999999994,0.2,2,2,1,0.5257583284219579,0.5324495140768737
wheatley,M,0.036324786,8_31_2017,11:29,1,1,56,21,6,76,DH,1280,R,30,669.4166666666666,82.40000000000009,0,-2.2926585094549483,0.5411868311977518,0.4666666666666667,-2.2246941045605954e-4,-2.2246941045605954e-4,0.18765462469412983,0,0,0,0,M,2380,NSD,0.28654022988505745,0.5725172413793104,8,6.111111111111111,53.666666666666664,5.9527777777777775,0.3108983232026474,0.1918046552530262,0.9135802469135802,7.222222222222222,4.509,0.0891545397986054,0.49636019968410094,0.3944982815118113,9,9,3,3,3,3,3,3,0.22171945701357448,0.594307162965281,0.7296110414052696,0.10597302504816956,0.24984703242912537,0.5060728744939273,1,0,0,0.8799301941810108,0.9712275144972804,0.10151629376499567,0.4363005404284156,non,low,0,0,12.668625,33.38022222222222,4.581250000000001,0.5,1,1,2,0.5152125537947083,0.2872976439904074
