fish_name,sex.x,detour_trial_1_prop_time_in_social_reward_following_solution,detour_trial_1_date_of_trial,detour_trial_1_time_of_trial,detour_trial_1_did_fish_solve_barrier_problem,detour_trial_1_did_fish_solve_full_social_problem,detour_trial_1_full_problem_time_to_social_reward_minus_time_to_contact_barrier,detour_trial_1_barrier_problem_time_around_barrier_minus_time_to_contact_barrier,detour_trial_1_time_from_barrier_contact_minus_time_to_end_of_alley,time_to_barrier_contact_minus_start_time,scorer,shuttlebox_start_side,shuttlebox_average_distance_from_correct_stimulus_during_stimulus,shuttlebox_average_distance_from_correct_stimulus_during_gaps,shuttlebox_slope,shuttlebox_wilcox_test,binned_shuttlebox_slope,binned_shuttlebox_wilcox_test,shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,did_fish_solve_shuttlebox.x,binned_did_fish_solve_shuttlebox.x,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_stimulus,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_gaps,twentythree_filtered_shuttlebox_slope,twentythree_filtered_shuttlebox_wilcox_test,twentythree_filtered_binned_shuttlebox_slope,twentythree_filtered_binned_shuttlebox_wilcox_test,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,did_fish_solve_shuttlebox.y,binned_did_fish_solve_shuttlebox.y,sex.y,standard_length,order,average_prop_time_thigmo_T0_to_T29,average_prop_time_mirror_T0_to_T29,average_number_of_entries_T0_to_T29,average_number_of_entries_T30_to_T50,average_number_of_entries_full_4_minutes,average_reaction_time,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,total_number_of_testing_trials_using_full_4_minutes_data,total_number_of_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.50_ratio_using_full_4_minutes_data,median_performance_on_0.67_ratio_using_full_4_minutes_data,median_performance_on_0.75_ratio_using_full_4_minutes_data,median_performance_on_0.50_ratio_using_T30_to_T50_data,median_performance_on_0.67_ratio_using_T30_to_T50_data,median_performance_on_0.75_ratio_using_T30_to_T50_data,number_of_medians_above_60_using_full_4_minutes_data,number_of_medians_above_60_using_T30_to_T50_data,shapiro_wilk_test_p_value_using_full_4_minutes_data,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,shapiro_wilk_test_p_value_using_T30_to_T50_data,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,learning_category_according_to_etheredge_T30_to_T50,learning_category_according_to_etheredge_full_4_minutes,did_fish_have_a_median_above_60,did_fish_have_at_least_two_medians_above_60,average_latency_to_enter_correct_side,average_latency_to_enter_incorrect_side,average_latency_to_enter_correct_side_filtered_just_correct_choice,proportion_of_correct_first_choices,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,number_of_trials_in_a_row_correct_choice_first,mean_of_median_performance_on_each_ratio_full_four_minutes_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data
wade,M,0.394736842,10_17_2017,2:36,1,1,3,1,4,445,DH,L,627.8988764044943,637.6161616161617,0.39895852939332666,0.12166348933082945,1.3339438339438843,0.12166348933082945,0.4,0.4083333333333333,-0.021802002224694094,-0.025417130144605116,0.39999999999999997,0.4083333333333333,-0.06464646464646465,-0.07828282828282829,0,0,627.8988764044943,637.6161616161617,0.39895852939332666,0.12166348933082945,1.3339438339438843,0.12166348933082945,0.5217391304347826,0.532608695652174,-0.006916996047430838,-0.014081027667984206,0.5208333333333333,0.515625,-0.01785714285714281,-0.05307539682539679,0,0,M,1997,NDS,0.6532183908045978,0.3157854406130268,1.7777777777777777,2.4444444444444446,13.11111111111111,27.106555555555556,0.5796417833208214,0.6,8,5,2,3,3,2,2,1,0.9620778349780348,0.1374078890333768,0.5755707075771249,1,0,1,1,2,0.01823776718023484,0.7230087105700103,0.006470000751665464,0.765594483995764,low,low,1,1,65.97083333333333,102.62650000000001,65.97083333333333,0.5,2,2,1,0.5583521438628455,0.6666666666666666
wilma,F,0.012237762,9_6_2017,3:48,1,1,6,3,2,22,DH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wyatt,M,0.092982456,08_24_2017,2:13,1,1,7,1,4,23,DH,L,664.575,654.3551401869158,-2.9764043984199606,0.61768401836274,-8.057107890499129,0.61768401836274,0.49444444444444446,0.475,0.004041527623285123,-5.005561735261381e-4,0.4910430839002268,0.475,0.00925582354153785,-5.050505050505248e-4,0,0,642.9673913043479,681.0434782608696,1.9235287659200788,0.06882762829453695,7.042861409796865,0.06882762829453695,0.4613526570048309,0.5,-0.001866490996925789,0.006916996047430826,0.44675925925925924,0.5,-0.01609347442680777,0.019841269841269858,0,0,M,2336,SDN,0.2333333333333333,0.5480842911877395,9.555555555555555,12.11111111111111,79,2.433333333333333,0.46849521653355003,0.44667021025907794,9,9,3,3,3,3,3,3,0.5268284893005428,0.31232091690544383,0.42913907284768155,0.37025316455696206,0.4060773480662978,0.4926253687315634,0,0,0.6654929787692405,0.5621838048398651,0.8608806612548631,0.4339131136393165,non,non,0,0,8.272222222222222,8.428125000000001,8.272222222222222,0.75,1,1,3,0.42276282635122275,0.4229852937849411
wisteria,F,0.023090586,12_13_2017,11:00,1,1,8,6,8,29,KW,L,658.6583333333333,648.0747663551402,-4.438414765785324,0.4643082432996682,-12.876371443907647,0.4643082432996682,0.5333333333333333,0.5333333333333333,-0.0013348164627363806,-0.007563959955506123,0.5299319727891156,0.5333333333333333,-0.0058956916099773505,-0.024242424242424246,0,0,610.1195652173913,669.1376811594203,-3.0184453227931436,0.8906084916247663,-9.903183137054063,0.8906084916247663,0.5217391304347826,0.5652173913043478,-0.006916996047430838,-0.005928853754940727,0.5208333333333333,0.5625,-0.01785714285714281,-0.021825396825396796,0,0,F,2490,NSD,0.263816091954023,0.18101532567049808,5.555555555555555,7.555555555555555,69.44444444444444,2.4961111111111105,0.5168384634993869,0.5411738455347261,9,9,3,3,3,3,3,3,0.46531657355679695,0.5377358490566042,0.43058951371909765,0.768760907504363,0.5,0.5384615384615388,0,1,0.8884041118895878,0.7873384070186397,0.48663665300918885,0.7246509481712887,low,non,1,0,16.94142857142857,6.8822222222222225,4.67,0.2857142857142857,2,1,1,0.47788064544416625,0.6024074819886339
gloria,F,0.09057971,8_24_2017,1:38,1,1,16,8,4,32,DH,L,781.6034482758621,625.503861003861,-7.094130552455926,0.8648698600391844,-26.07005495568711,0.8648698600391844,0.5018518518518519,0.35,0.004115684093437152,0.005005561735261404,0.5052532123960696,0.35,0.019475938523557595,0.013131313131313126,0,0,841.804347826087,622.024154589372,-15.851559068950394,0.4633403946705866,-52.06722563577402,0.4633403946705866,0.5217391304347826,0.29347826086956524,0.018500219587176098,-0.006916996047430827,0.5358796296296297,0.28125,0.06316137566137567,-0.026785714285714267,0,0,F,3350,SDN,0.06952107279693487,0.26257854406130265,5.666666666666667,5.555555555555555,45.44444444444444,5.608333333333333,0.4995236155188724,0.42305537708857577,9,9,3,3,3,3,3,3,0.5049045860698482,0.3892421159715157,0.5134803921568628,0.31268436578171094,0.7016212487064503,0,0,1,0.4510880219268337,0.9939400301986933,0.1318094549613764,0.5825017903775748,low,non,1,0,24.924,16.143749999999997,24.924,0.5714285714285714,2,2,2,0.4692090313994089,0.33810187149605375
wanda,F,0.035971223,9_6_2017,3:29,1,1,31,28,7,152,DH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gideon,M,0.30198915,12_3_2017,2:51,1,1,34,8,3,13,BW,L,715.9083333333333,641.3981308411215,-1.678853658825886,0.7099198723185685,-7.497820719269946,0.7099198723185685,0.4981481481481482,0.425,0.0031763688048448823,0.008620689655172415,0.4947467876039304,0.425,0.009929224214938486,0.024747474747474716,0,0,718.1304347826087,656.6449275362319,1.2110232762406752,0.9657814952988921,-2.6119218296637756,0.9657814952988921,0.4758454106280193,0.42391304347826086,-5.489679402722942e-4,0.018774703557312252,0.47685185185185186,0.4270833333333333,0.004850088183421508,0.04861111111111112,0,0,M,1025,SDN,0.4115708812260536,0.020402298850574718,7.666666666666667,2.7777777777777777,30.77777777777778,18.20277777777778,0.35028508666293956,0.2857142857142857,8,7,3,3,3,3,2,3,0.18069088926479426,0.4365386972466367,0,0,0,0,0,0,0.025232689232391955,0.18127639241267002,4.790565961876614e-4,0.5296506700533425,non,non,0,0,134.42499999999998,71.34166666666667,134.42499999999998,1,2,1,1,0.20574319550381032,0
griffin,M,0.493457944,12_3_2017,2:33,1,1,35,31,3,30,BW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,1019,SDN,0.3478927203065134,0.11293103448275861,3.6666666666666665,2.2222222222222223,25.333333333333332,16.869444444444444,0.3962744324378054,0.5,9,6,3,3,3,3,1,2,0.44177724765170717,0.3692085812150715,0.21595133491044274,1,0,0.5,0,1,0.4518545293208607,0.3634729412332518,0.004039328517458278,1,low,non,1,0,50.828125,67.92916666666667,50.828125,0.6,1,2,3,0.3423123879257405,0.5
gary,M,0.354938272,8_31_2017,10:50,1,1,43,37,232,233,DH,R,583.8416666666667,646.3457943925233,-3.4118567548011285,0.3961997876963175,-9.794542136339208,0.3961997876963175,0.500997150997151,0.55,0.0023929722483671317,-0.00433815350389321,0.5032501889644747,0.55,0.008057903295998531,-0.013131313131313136,0,0,579.3260869565217,653.6135265700483,-3.4392841458058867,0.28013634655967545,-8.335658815497494,0.28013634655967545,0.4975845410628019,0.5543478260869565,0.0029644268774703495,-0.007905138339920952,0.4976851851851852,0.5520833333333334,0.005952380952380949,-0.020833333333333336,0,0,M,2330,NSD,0.13867816091954024,0.42815325670498083,8,5.444444444444445,53.77777777777778,2.0088888888888885,0.5103590139708649,0.524902874444351,9,7,3,3,3,2,2,3,0.5532829287703944,0.6151104775481109,0.4088815789473684,0.6889715788798357,0.5,0.4083769633507854,1,1,0.995135198775796,0.8840150616784982,0.1846331223148499,0.8814298412768545,low,low,1,0,54.819374999999994,46.2525,54.819374999999994,0.2,2,2,1,0.5257583284219579,0.5324495140768737
wheatley,M,0.036324786,8_31_2017,11:29,1,1,56,21,6,76,DH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2380,NSD,0.28654022988505745,0.5725172413793104,8,6.111111111111111,53.666666666666664,5.9527777777777775,0.49636019968410094,0.3944982815118113,9,9,3,3,3,3,3,3,0.22171945701357448,0.594307162965281,0.7296110414052696,0.10597302504816956,0.24984703242912537,0.5060728744939273,1,0,0.8799301941810108,0.9712275144972804,0.10151629376499567,0.4363005404284156,non,low,0,0,12.668625,33.38022222222222,4.581250000000001,0.5,1,1,2,0.5152125537947083,0.2872976439904074
