fish_name,sex,standard_length,order,average_prop_time_thigmo_T0_to_T29,average_prop_time_mirror_T0_to_T29,average_number_of_entries_T0_to_T29,average_number_of_entries_T30_to_T50,average_number_of_entries_full_4_minutes,average_reaction_time,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,total_number_of_testing_trials_using_full_4_minutes_data,total_number_of_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.50_ratio_using_full_4_minutes_data,median_performance_on_0.67_ratio_using_full_4_minutes_data,median_performance_on_0.75_ratio_using_full_4_minutes_data,median_performance_on_0.50_ratio_using_T30_to_T50_data,median_performance_on_0.67_ratio_using_T30_to_T50_data,median_performance_on_0.75_ratio_using_T30_to_T50_data,number_of_medians_above_60_using_full_4_minutes_data,number_of_medians_above_60_using_T30_to_T50_data,shapiro_wilk_test_p_value_using_full_4_minutes_data,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,shapiro_wilk_test_p_value_using_T30_to_T50_data,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,learning_category_according_to_etheredge_T30_to_T50,learning_category_according_to_etheredge_full_4_minutes,did_fish_have_a_median_above_60,did_fish_have_at_least_two_medians_above_60,average_latency_to_enter_correct_side,average_latency_to_enter_incorrect_side,average_latency_to_enter_correct_side_filtered_just_correct_choice,proportion_of_correct_first_choices,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,number_of_trials_in_a_row_correct_choice_first,mean_of_median_performance_on_each_ratio_full_four_minutes_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data
wahida,F,1535,SDN,0.1504022988505747,0.568639846743295,5.333333333333333,6.555555555555555,47.666666666666664,3.9138888888888888,0.271544319251127,0.44736405048875383,8,8,3,3,2,3,3,2,0.45445920303605297,0.06848802395209569,0.1476306196840823,0.7073170731707311,0,0.4357976653696498,0,1,0.03823246836309187,0.13952696844257642,0.007763569804689938,0.608247652417139,low,non,1,0,55.325,25.54,25.005000000000003,0.6666666666666666,1,2,1,0.22352594889074365,0.381038246180127
wheatley,M,2380,NSD,0.28654022988505745,0.5725172413793104,8,6.111111111111111,53.666666666666664,5.9527777777777775,0.49636019968410094,0.3944982815118113,9,9,3,3,3,3,3,3,0.22171945701357448,0.594307162965281,0.7296110414052696,0.10597302504816956,0.24984703242912537,0.5060728744939273,1,0,0.8799301941810108,0.9712275144972804,0.10151629376499567,0.4363005404284156,non,low,0,0,12.668625,33.38022222222222,4.581250000000001,0.5,1,1,2,0.5152125537947083,0.2872976439904074
winnifred,F,2351,SND,0.32871264367816094,0.2495632183908046,2.888888888888889,5.777777777777778,45.888888888888886,4.488777777777778,0.44508408445927095,0.6837208830247233,9,9,3,3,3,3,3,3,0.49907900465521277,0.45582227570700207,0.1534937919395669,1,0.7841530054644807,0.8325456323337679,0,3,0.9508740739010592,0.5574010478751241,0.010071513627982106,0.22779999398822906,low,non,1,1,43.442499999999995,17.868875,8.713000000000001,0.6,2,2,2,0.3694650241005939,0.8722328792660828
wisteria,F,2490,NSD,0.263816091954023,0.18101532567049808,5.555555555555555,7.555555555555555,69.44444444444444,2.4961111111111105,0.5168384634993869,0.5411738455347261,9,9,3,3,3,3,3,3,0.46531657355679695,0.5377358490566042,0.43058951371909765,0.768760907504363,0.5,0.5384615384615388,0,1,0.8884041118895878,0.7873384070186397,0.48663665300918885,0.7246509481712887,low,non,1,0,16.94142857142857,6.8822222222222225,4.67,0.2857142857142857,2,1,1,0.47788064544416625,0.6024074819886339
wayne,M,2115,DNS,0.18812260536398465,0.05488505747126438,4.888888888888889,6.888888888888889,40,9.591666666666667,0.5050366274164041,0.48743479338805656,9,9,3,3,3,3,3,3,0.475184956843403,0.5103873055642552,0.4254234953863105,0.36581196581196573,0.5623268698060943,0.3055555555555563,0,0,0.618006065812831,0.9507148531423681,0.20633369855394812,0.926348008352263,non,non,0,0,15.581833333333336,39.861714285714285,17.954,0.5,2,2,2,0.47033191926465623,0.4112314637245388
gabi,F,3248,DNS,0.18208812260536397,0.24942528735632186,8.222222222222221,5.333333333333333,71.44444444444444,8.744444444444445,0.4527042927173649,0.39140369769017325,9,9,3,3,3,3,3,3,0.3236174885206627,0.5873799725651574,0.4104833219877467,0,0.10238907849829347,1,0,1,0.47208570344470296,0.3791944849834288,0.008941473303282647,0.46313073982173036,low,non,1,0,25.457142857142856,15.174999999999999,25.457142857142856,0.6,1,1,2,0.44049359435785557,0.36746302616609783
wile,M,2236,NSD,0.092911877394636,0.727911877394636,3.6666666666666665,7.777777777777778,55.77777777777778,3.019444444444444,0.5128424786944414,0.5255555555555558,9,6,3,3,3,2,1,3,0.3764434180138572,0.5877712031558194,0.5990566037735849,0.5,1,0.5000000000000006,0,1,0.007103019293365086,0.359375,0.1943524878889278,0.8951588301056221,low,non,1,0,26.440624999999997,28.605555555555554,26.440624999999997,0.5,2,1,2,0.52109040831442055,0.6666666666666669
wyatt,M,2336,SDN,0.2333333333333333,0.5480842911877395,9.555555555555555,12.11111111111111,79,2.433333333333333,0.46849521653355003,0.44667021025907794,9,9,3,3,3,3,3,3,0.5268284893005428,0.31232091690544383,0.42913907284768155,0.37025316455696206,0.4060773480662978,0.4926253687315634,0,0,0.6654929787692405,0.5621838048398651,0.8608806612548631,0.4339131136393165,non,non,0,0,8.272222222222222,8.428125000000001,8.272222222222222,0.75,1,1,3,0.42276282635122275,0.4229852937849411
wedelia,F,1450,SDN,0.06331417624521073,0.7199616858237547,3,4.333333333333333,36.77777777777778,2.430555555555556,0.46619736962338637,0.4929723469358574,6,2,3,3,0,1,1,0,0.01925722145804674,0.8836805555555557,NA,0.11570247933884283,0.870242214532872,NA,1,1,0.03943879098940303,0.7524936490337828,NA,NA,NA,low,1,0,46,70.825,46,0.6666666666666666,1,1,2,0.4514688885068012,0.4929723469358574
gavin,M,1992,DSN,0.14453448275862069,0.8208333333333333,2.6666666666666665,5.833333333333333,32.333333333333336,3.8040000000000003,0.45984590778030077,0,6,2,3,1,2,0,1,1,1,0.5015301750520259,0.12877263581488937,NA,0,0,1,0,0.16218157441337935,0.8384659109907322,NA,NA,non,low,0,0,97.5875,52.46475,97.5875,0,1,0,0,0.5434342702889717,0
