time,code,class
0.015, top mirror,1
31.65, top left thigmo,1
33.725, center,1
35.325, top mirror,1
37.475, top left thigmo,1
38.025, center,1
41.2,left screen,1
42.525, top mirror,1
43.575, top left thigmo,1
45.175, top mirror,1
54.75, top left thigmo,1
55.275, center,1
56.35, top mirror,1
58.2, top left thigmo,1
59.525, top mirror,1
60.875, top left thigmo,1
62.225, top mirror,1
65.975, top left thigmo,1
67.275, top mirror,1
73.375, top left thigmo,1
76, top mirror,1
79.2, top left thigmo,1
80, top mirror,1
82.675, top left thigmo,1
85.875, top mirror,1
86.675, top left thigmo,1
87.2, center,1
88, top mirror,1
93.1, top left thigmo,1
93.875, center,1
94.4, top left thigmo,1
94.675, top mirror,1
95.475, top left thigmo,1
99.225, top mirror,1
101.6, top left thigmo,1
106.675,left screen,1
108.275, center,1
109.35, top mirror,1
156.65, top right thigmo,1
156.925, top mirror,1
179.325, top left thigmo,1
179.6, top mirror,1
180.9, top left thigmo,1
183.075, top mirror,1
192.025, top left thigmo,1
194.925, center,1
195.45, top mirror,1
205, top right thigmo,1
205.8, center,1
206.6, top mirror,1
210.35, top right thigmo,1
211.15, top mirror,1
235.425,END,0
