var1,var2,statistic,value,p_value,n
average_latency_to_enter_correct_side,average_latency_to_enter_incorrect_side,r,0.637554346,3.80E-05,35
average_latency_to_enter_correct_side,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,0.958355701,1.57E-19,35
average_latency_to_enter_correct_side,proportion_of_correct_first_choices,r,-0.236538178,0.17129253,35
average_latency_to_enter_correct_side,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,0.077295303,0.658967502,35
average_latency_to_enter_correct_side,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,-0.221105921,0.201799392,35
average_latency_to_enter_correct_side,number_of_trials_in_a_row_correct_choice_first,r,-0.475032777,0.003931403,35
average_latency_to_enter_correct_side,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,-0.398962348,0.017591871,35
average_latency_to_enter_correct_side,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,-0.447319694,0.007054837,35
average_latency_to_enter_correct_side_filtered_just_correct_choice,proportion_of_correct_first_choices,r,-0.25635627,0.13714324,35
average_latency_to_enter_correct_side_filtered_just_correct_choice,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,0.080203113,0.646956085,35
average_latency_to_enter_correct_side_filtered_just_correct_choice,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,-0.218112973,0.208127403,35
average_latency_to_enter_correct_side_filtered_just_correct_choice,number_of_trials_in_a_row_correct_choice_first,r,-0.44920531,0.006789766,35
average_latency_to_enter_correct_side_filtered_just_correct_choice,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,-0.316942221,0.063580636,35
average_latency_to_enter_correct_side_filtered_just_correct_choice,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,-0.492805004,0.002632872,35
average_latency_to_enter_incorrect_side,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,0.675502143,8.50E-06,35
average_latency_to_enter_incorrect_side,proportion_of_correct_first_choices,r,0.160858581,0.355943682,35
average_latency_to_enter_incorrect_side,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,0.144074791,0.408960945,35
average_latency_to_enter_incorrect_side,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,-0.094807911,0.587994931,35
average_latency_to_enter_incorrect_side,number_of_trials_in_a_row_correct_choice_first,r,-0.031794727,0.85612072,35
average_latency_to_enter_incorrect_side,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,-0.095431602,0.585530626,35
average_latency_to_enter_incorrect_side,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,-0.082366662,0.63807538,35
average_number_of_entries,average_reaction_time,r,-0.627955303,4.13E-05,36
average_number_of_entries,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,r,0.300962028,0.078944835,35
average_number_of_entries,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,r,0.372320998,0.027626176,35
average_number_of_entries,total_number_of_testing_trials_using_full_4_minutes_data,r,0.301958521,0.073477538,36
average_number_of_entries,total_number_of_testing_trials_using_T30_to_T50_data,r,0.463491131,0.004413786,36
average_number_of_entries,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,r,0.219196713,0.198983606,36
average_number_of_entries,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,r,0.195673582,0.252745717,36
average_number_of_entries,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,r,0.240925487,0.156926048,36
average_number_of_entries,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,r,0.351811297,0.035364097,36
average_number_of_entries,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,r,0.411227128,0.012716222,36
average_number_of_entries,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,r,0.388982616,0.019041655,36
average_number_of_entries,median_performance_on_0.50_ratio_using_full_4_minutes_data,r,0.041404947,0.813308518,35
average_number_of_entries,median_performance_on_0.67_ratio_using_full_4_minutes_data,r,0.367692225,0.029775652,35
average_number_of_entries,median_performance_on_0.75_ratio_using_full_4_minutes_data,r,0.127979026,0.470724173,34
average_number_of_entries,median_performance_on_0.50_ratio_using_T30_to_T50_data,r,0.121429186,0.500846383,33
average_number_of_entries,median_performance_on_0.67_ratio_using_T30_to_T50_data,r,0.184219822,0.289427418,35
average_number_of_entries,median_performance_on_0.75_ratio_using_T30_to_T50_data,r,0.384497377,0.024753692,34
average_number_of_entries,number_of_medians_above_60_using_full_4_minutes_data,ICC,0.044950282,0.61,36
average_number_of_entries,number_of_medians_above_60_using_T30_to_T50_data,ICC,0.17571663,0.07,36
average_number_of_entries,shapiro_wilk_test_p_value_using_full_4_minutes_data,r,-0.028173027,0.872367158,35
average_number_of_entries,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,r,0.219098937,0.206027803,35
average_number_of_entries,shapiro_wilk_test_p_value_using_T30_to_T50_data,r,0.340234217,0.052699364,33
average_number_of_entries,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,r,-0.018269206,0.919621739,33
average_number_of_entries,learning_category_according_to_etheredge_T30_to_T50,ICC,0.134210706,0.07,35
average_number_of_entries,learning_category_according_to_etheredge_full_4_minutes,ICC,-0.044984579,0.55,36
average_number_of_entries,average_latency_to_enter_correct_side,r,-0.552602072,5.77E-04,35
average_number_of_entries,average_latency_to_enter_incorrect_side,r,-0.605213575,1.17E-04,35
average_number_of_entries,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,-0.535264357,9.22E-04,35
average_number_of_entries,proportion_of_correct_first_choices,r,0.120845912,0.489244829,35
average_number_of_entries,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,-0.026885976,0.876308357,36
average_number_of_entries,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,0.271289936,0.109493838,36
average_number_of_entries,number_of_trials_in_a_row_correct_choice_first,r,0.300637844,0.074807945,36
average_number_of_entries,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,0.306369055,0.0734538,35
average_number_of_entries,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,0.373181647,0.027240941,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,r,0.445788067,0.007276619,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,total_number_of_testing_trials_using_full_4_minutes_data,r,0.12810514,0.46332303,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,total_number_of_testing_trials_using_T30_to_T50_data,r,0.236694324,0.171001729,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,r,0.249720212,0.147967927,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,r,-0.092971035,0.59527914,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,r,0.035118294,0.841262504,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,r,0.289064618,0.092144656,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,r,0.218401751,0.207510926,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,r,0.016156057,0.926606536,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,median_performance_on_0.50_ratio_using_full_4_minutes_data,r,0.402824103,0.016429536,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,median_performance_on_0.67_ratio_using_full_4_minutes_data,r,0.607224305,1.10E-04,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,median_performance_on_0.75_ratio_using_full_4_minutes_data,r,0.668629701,1.55E-05,34
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,median_performance_on_0.50_ratio_using_T30_to_T50_data,r,-0.018188939,0.919973759,33
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,median_performance_on_0.67_ratio_using_T30_to_T50_data,r,0.246202302,0.153952583,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,median_performance_on_0.75_ratio_using_T30_to_T50_data,r,0.476851715,0.004353658,34
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,number_of_medians_above_60_using_full_4_minutes_data,ICC,0.269247725,0.02,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,number_of_medians_above_60_using_T30_to_T50_data,ICC,0.147743464,0.11,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,shapiro_wilk_test_p_value_using_full_4_minutes_data,r,0.262995146,0.126908361,35
